02/19/19|000060904|London|PM2.5-24hr|UG/M3|10.1|24|Ontario Ministry of the Environment
02/19/19|000061009|Sarnia|OZONE-1HR|PPB|46|1|Ontario Ministry of the Environment
02/19/19|000061009|Sarnia|OZONE-8HR|PPB|42|8|Ontario Ministry of the Environment
02/19/19|000061009|Sarnia|PM2.5-24hr|UG/M3|9.9|24|Ontario Ministry of the Environment
02/19/19|000061104|Peterborough|OZONE-1HR|PPB|44|1|Ontario Ministry of the Environment
02/19/19|000061104|Peterborough|OZONE-8HR|PPB|41|8|Ontario Ministry of the Environment
02/19/19|000061104|Peterborough|PM2.5-24hr|UG/M3|6.7|24|Ontario Ministry of the Environment
02/19/19|000061201|Cornwall|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
02/19/19|000061201|Cornwall|OZONE-8HR|PPB|37|8|Ontario Ministry of the Environment
02/19/19|000061201|Cornwall|PM2.5-24hr|UG/M3|2.9|24|Ontario Ministry of the Environment
02/19/19|000061302|St. Catharines|OZONE-1HR|PPB|43|1|Ontario Ministry of the Environment
02/19/19|000061302|St. Catharines|OZONE-8HR|PPB|40|8|Ontario Ministry of the Environment
02/19/19|000061302|St. Catharines|PM2.5-24hr|UG/M3|7.5|24|Ontario Ministry of the Environment
02/19/19|000061402|Brantford|OZONE-1HR|PPB|45|1|Ontario Ministry of the Environment
02/19/19|000061402|Brantford|OZONE-8HR|PPB|41|8|Ontario Ministry of the Environment
02/19/19|000061402|Brantford|PM2.5-24hr|UG/M3|10.9|24|Ontario Ministry of the Environment
02/19/19|000061502|Kitchener|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
02/19/19|000061502|Kitchener|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
02/19/19|000061502|Kitchener|PM2.5-24hr|UG/M3|12|24|Ontario Ministry of the Environment
02/19/19|000062001|North Bay|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
02/19/19|000062001|North Bay|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
02/19/19|000062001|North Bay|PM2.5-24hr|UG/M3|6.8|24|Ontario Ministry of the Environment
02/19/19|000062501|Tiverton|OZONE-1HR|PPB|44|1|Ontario Ministry of the Environment
02/19/19|000062501|Tiverton|OZONE-8HR|PPB|42|8|Ontario Ministry of the Environment
02/19/19|000062501|Tiverton|PM2.5-24hr|UG/M3|3.7|24|Ontario Ministry of the Environment
02/19/19|000063301|Dorset|OZONE-1HR|PPB|43|1|Ontario Ministry of the Environment
02/19/19|000063301|Dorset|OZONE-8HR|PPB|41|8|Ontario Ministry of the Environment
02/19/19|000063301|Dorset|PM2.5-24hr|UG/M3|2.7|24|Ontario Ministry of the Environment
02/19/19|000063701|Grand Bend|OZONE-1HR|PPB|47|1|Ontario Ministry of the Environment
02/19/19|000063701|Grand Bend|OZONE-8HR|PPB|43|8|Ontario Ministry of the Environment
