"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2019-03-20 17:22:34","2018-01-05 08:36:27"
"03/20/2019","16:00","191630015","Davenport, 10th & Vi","OZONE","PPB",41,"Iowa DNR",38,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271377550","Duluth-WDSE","OZONE","PPB",41,"Minnesota Pollution Control Agency",38,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550870009","APPLETON AAL","OZONE","PPB",40,"Wisconsin DNR",37,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","461030020","Credit Union","PM25","UG/M3",8.9,"South Dakota",37,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550610002","KEWAUNEE","OZONE","PPB",39,"Wisconsin DNR",36,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550710007","MANITOWOC","OZONE","PPB",38,"Wisconsin DNR",35,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191130033","COGGON","OZONE","PPB",38,"Linn Co. Public Health ",35,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191630014","Scott County Park","OZONE","PPB",38,"Iowa DNR",35,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530910","Minneapolis-Pacific ","PM10","UG/M3",38,"Minnesota Pollution Control Agency",35,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551170006","SHEBOYGAN","OZONE","PPB",37,"Wisconsin DNR",34,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551330027","WAUKESHA - CLEVELAND","OZONE","PPB",37,"Wisconsin DNR",34,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191130040","PUBLIC HEALTH","OZONE","PPB",37,"Linn Co. Public Health ",34,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551110007","Devils Lake","PM25","UG/M3",8,"Wisconsin DNR",33,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551170009","Sheboygan-Haven","OZONE","PPB",36,"Wisconsin DNR",33,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191130040","PUBLIC HEALTH","PM25","UG/M3",8,"Linn Co. Public Health ",33,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270370480","Lakeville - Near Roa","PM25","UG/M3",8,"Minnesota Pollution Control Agency",33,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530962","Minneapolis-Near Roa","OZONE","PPB",36,"Minnesota Pollution Control Agency",33,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530962","Minneapolis-Near Roa","PM25","UG/M3",8,"Minnesota Pollution Control Agency",33,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271390505","Shakopee","PM25","UG/M3",8,"Minnesota Pollution Control Agency",33,"2019-03-20 17:22:34",NA
