"File","Time","Status","Message"
"2016081511","2016-08-15 09:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081516","2016-08-15 12:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081515","2016-08-15 12:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081514","2016-08-15 12:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081619","2016-08-16 15:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081618","2016-08-16 15:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081617","2016-08-16 15:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081623","2016-08-16 19:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081700","2016-08-16 20:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081623","2016-08-16 20:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081701","2016-08-16 21:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081700","2016-08-16 21:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081623","2016-08-16 21:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081702","2016-08-16 22:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081701","2016-08-16 22:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081700","2016-08-16 22:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081703","2016-08-16 23:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081702","2016-08-16 23:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081701","2016-08-16 23:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081704","2016-08-17 00:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081703","2016-08-17 00:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081702","2016-08-17 00:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081705","2016-08-17 01:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081704","2016-08-17 01:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081703","2016-08-17 01:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081706","2016-08-17 02:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081705","2016-08-17 02:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081704","2016-08-17 02:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081707","2016-08-17 03:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081706","2016-08-17 03:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081705","2016-08-17 03:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081708","2016-08-17 04:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081707","2016-08-17 04:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081706","2016-08-17 04:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081709","2016-08-17 05:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081708","2016-08-17 05:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081707","2016-08-17 05:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081710","2016-08-17 06:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081709","2016-08-17 06:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081708","2016-08-17 06:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081711","2016-08-17 07:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081710","2016-08-17 07:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081709","2016-08-17 07:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081712","2016-08-17 08:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081711","2016-08-17 08:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081710","2016-08-17 08:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081713","2016-08-17 09:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081712","2016-08-17 09:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081711","2016-08-17 09:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081714","2016-08-17 10:17:02","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
"2016081713","2016-08-17 10:17:03","Failed","Error in open.connection(con, ""rb"") : 
  FTP: couldn't retrieve (RETR failed) the specified file
"
